 0.0000000000E+00 7.9660100000E-04
 5.0000000000E-01 9.1866250000E-03
 1.0000000000E+00 5.7657719000E-02
 1.5000000000E+00 1.4101219200E-01
 2.5000000000E+00 3.0072784400E-01
 3.0000000000E+00 3.4402465800E-01
 3.5000000000E+00 3.9221572900E-01
 4.0000000000E+00 4.2932128900E-01
 4.5000000000E+00 4.2487335200E-01
 5.0000000000E+00 4.3278121900E-01
 5.5000000000E+00 3.9648819000E-01
 6.0000000000E+00 4.3852996800E-01
 6.5000000000E+00 3.4619522100E-01
 7.0000000000E+00 3.0031585700E-01
 7.5000000000E+00 2.3190689100E-01
 8.0000000000E+00 1.5740776100E-01
 8.5000000000E+00 8.7776184000E-02
 9.0000000000E+00 3.4726143000E-02
 9.5000000000E+00 5.1903720000E-03
