0    8317   0
27   8490   7.3
50   8722   12.9
71   8978   18
92   9255   23.1
115  9570   28.1
138  9908   32.8
170  10368  38.2
205  10878  43.4
235  11268  47.9
272  11748  52.7
290  12003
359  12765  62
419  13463  68.2
466  13845  71.8
509  14273  75
